太空杯500ml,FGA--102,件(48只),430×290×365,3.8,塑胶事业部
M33*2塑料套,,只,,0.1,塑胶事业部
31.5轴套,,只,,0.1,塑胶事业部
Φ10塑料堵头,,只,,0.08,塑胶事业部
400ml采样杯,,只,,20,塑胶事业部
淬火件,,公斤,,0.01,*
100ml采样杯,,只,,12,*
太空杯650ml,FGA--103,件(48只),490×330×370,4.4,塑胶事业部
太空杯800ml,FGA--104,件(48只),490×330×405,5.2,塑胶事业部
太空杯1000ml,FGA--105,件(48只),550×370×435,6.4,塑胶事业部
太空杯1500ml,FGA--106,件(48只),620×410×530,8.8,塑胶事业部
太空杯2000ml,FGA--107,件(30只),575×345×565,10.2,塑胶事业部
850直筒太空杯,FGA--107,件(48只),,9.5,塑胶事业部
M16*1.5塑料堵,,只,,0.08,塑胶事业部
35堵头,,只,,0.08,塑胶事业部
奇兵太空杯400ml,FGA--1346,件(48只),,4.2,塑胶事业部
奇兵太空杯500ml,FGA--1345,件(48只),,4.6,塑胶事业部
奇兵太空杯650ml,FGA--1344,件(48只),,5.2,塑胶事业部
奇兵水壶550ml,FGA--1343,件(48只),,5.4,塑胶事业部
G001-280玻璃杯,G001-280,件(20只),625×450×260,21.8,玻璃事业部
FGA富光玻璃办公杯,FB1003-320B,件(20只),,17.5,玻璃事业部
FGA富光玻璃口杯,FB1004-280,件(30只),,17.8,玻璃事业部
FGA富光玻璃办公杯,FB1004-320B,件(20只),,22,玻璃事业部
FGA富光玻璃口杯,FB1005-280,件(20只),,14.8,玻璃事业部
FGA富光玻璃口杯,FB1005-320,件(20只),,16.8,玻璃事业部
FGA富光玻璃办公杯,FB1005-320B,件(20只),,19,玻璃事业部
FGA富光玻璃口杯,FB1006-200,件(30只),,12.7,玻璃事业部
FGA富光玻璃口杯,FB1006-280,件(30只),,13.6,玻璃事业部
FGA富光玻璃口杯,FB1007-280,件(20只),,37.5,玻璃事业部
FGA富光玻璃口杯,FB1008-280,件(30只),,8.5,玻璃事业部
G001-320玻璃杯,G001-320,件(20只),625×450×260,23.8,玻璃事业部
FGA富光玻璃口杯,FB1008-320,件(30只),,9.5,玻璃事业部
FGA富光玻璃办公杯,FB1008-320B,件(20只),,11.3,玻璃事业部
FGA富光水晶玻璃口杯,FB1010-280,件(20只),,88,玻璃事业部
FGA富光水晶玻璃办公杯,FB1010-320B,件(16只),,98,玻璃事业部
FGA富光单层玻璃杯,FB6001-280,件(40只),,8.4,玻璃事业部
FGA富光单层玻璃杯,FB6001-460,件(40只),,9,玻璃事业部
FGA富光单层玻璃办公杯,FB6001-480B,件(20只),,16.2,玻璃事业部
G005-280玻璃杯,G005-280,件(18只),,22.5,玻璃事业部
G005-320玻璃杯,G005-320,件(18只),,22.8,玻璃事业部
G005-240A玻璃口杯,G005-240A,件(40只),,16.8,玻璃事业部
G001-320B玻璃杯,G001-320B,件(20只),625×450×260,27.8,玻璃事业部
FGA富光玻璃口杯,FB1001-280,件(30只),,14,玻璃事业部
FGA富光玻璃口杯,FB1001-320,件(30只),,15,玻璃事业部
FGA富光玻璃口杯,FB1001-320B,件(20只),,18.3,玻璃事业部
特制G001-500玻璃杯,,只,,36.8,玻璃事业部
FGA富光玻璃口杯,FGA.S305-280,件(30只),,13.6,玻璃事业部
FGA富光玻璃口杯,FB1009-280,件(30只),,9.6,玻璃事业部
FGA富光玻璃口杯,FB1009-320B,件(20只),,12,玻璃事业部
FGA富光玻璃口杯,FB1011-500,件(30只),,18,玻璃事业部
FGA富光玻璃口杯,FB1013-280,件(30只),,29,玻璃事业部
FGA富光玻璃口杯,FB1014-320,件(30只),,26,玻璃事业部
FGA富光玻璃口杯,FB1002-280,件(30只),,15.7,玻璃事业部
FGA富光玻璃口杯外箱,FB6001-280,只,,1.29,玻璃事业部
FGA富光玻璃口杯外箱,FB6001-480B,只,,2.09,玻璃事业部
FGA富光玻璃口杯外箱,FB1001-280,只,,1.52,玻璃事业部
FGA富光玻璃口杯外箱,FB1001-320,只,,1.71,玻璃事业部
G008-240A玻璃口杯,G008-240A,件(30只),,14.8,玻璃事业部
G008-200玻璃口杯,G008-200,件(30只),,13.8,玻璃事业部
G008-280玻璃口杯,G008-280,件(30只),,15.8,玻璃事业部
G008-300玻璃口杯,G008-300,件(30只),,8.8,玻璃事业部
G008-400玻璃口杯,G008-400,件(30只),,10.8,玻璃事业部
G008-350玻璃口杯,G008-350,件(30只),,9.8,玻璃事业部
FGA富光玻璃口杯,FB1002-320,件(30只),,16.8,玻璃事业部
悠乐水韵玻璃杯,YS-2002,件(30只),,13.6,玻璃事业部
悠乐水韵玻璃办公杯,YS-2002B,件(20只),,18,玻璃事业部
G008大口单层玻璃杯,G008-520,件(30只),,12.8,玻璃事业部
G008大口单层玻璃杯,G008-360,件(30只),,10.8,玻璃事业部
G008大口双层玻璃杯,G008-320,件(30只),,18.8,玻璃事业部
G008大口双层玻璃杯,G008-260,件(30只),,16.8,玻璃事业部
360ml单层玻璃水晶杯,,只,,14.2,玻璃事业部
FGA富光玻璃办公杯,FB1002-320B,件(20只),,18.9,玻璃事业部
FGA富光玻璃口杯,FB1003-200,件(30只),,13.6,玻璃事业部
FGA富光玻璃口杯,FB1003-280,件(30只),,14.5,玻璃事业部
FGA富光玻璃口杯,FB1003-320,件(30只),,15.5,玻璃事业部
特精彩休闲玻璃杯,221A-320,件(30只),520×435×180,16.8,玻璃事业部
FGA富光太空杯,FS1004-800,件(40只),,7.2,塑胶事业部
FGA富光太空杯,FS1018-750-2,件(40只),,8.8,塑胶事业部
FGA富光太空杯,FS1029-400-2,件(40只),,4.7,塑胶事业部
FGA富光太空杯,FS1029-400-3,件(40只),,4.7,塑胶事业部
FGA富光太空杯,FS1033-500,件(40只),,5.7,塑胶事业部
